Number_old,Number,Topic,SpeechAct,Flavor,Audio_Intro,Audio_Continuation,Audio_AnswerM,Audio_AnswerF,Intro,SAPrompt_part1,SAPrompt_part2,Target,QPara,APara,RPara,Answer,Answer_01,Comp_Q,Comp_Ans0,Comp_Ans1
2_1,1_1,cake,request,ability,cake_intro.mp3,cake_conti_R.mp3,cake_answer_R_male.mp3,cake_answer_R_female.mp3,Vous êtes avec Jordan chez un ami qui a préparé une tarte aux poireaux.,Vous voudriez que Jordan prenne une part,pour savoir si la tarte est bonne,Tu peux prendre de la tarte ?,Est-ce que tu as la capacité/autorisation/droit de prendre de la tarte ?,Je t'informe que tu as le capacité/autorisation/droit de prendre de la tarte.,"Prends de la tarte, s'il te plaît !","Volontiers, elle a l'air tellement bonne !",O,Jordan va-t-il goûter la tarte ?,non,oui
13_1,2_1,car,request,ability,car_intro.mp3,car_conti_R.mp3,car_answer_R_male.mp3,car_answer_R_female.mp3,Vous arrivez à votre voiture avec votre ami Jordan.,Vous voudriez que Jordan conduise,"parce que vous, vous êtes trop fatigué(e) pour le faire",Tu peux conduire ?,Est-ce que tu as la capacité/autorisation/droit de conduire ?,Je t'informe que tu as le capacité/autorisation/droit de conduire.,"Conduis, s'il te plaît !","Oui pas de soucis, tu feras copilote. ",O,Qui va conduire la voiture ?,vous,Jordan
9_1,3_1,cleanplate,request,ability,cleanplate_intro.mp3,cleanplate_conti_R.mp3,cleanplate_answer_R_male.mp3,cleanplate_answer_R_female.mp3,"Vous êtes chez vous avec Jordan, votre colocataire.",Vous voudriez que Jordan lave son assiette,parce que vous n'aimez pas voir des assiettes sales dans l'évier,Tu peux laver ton assiette ?,Est-ce que tu as la capacité/autorisation/droit de laver ton assiette ?,Je t'informe que tu as le capacité/autorisation/droit de laver ton assiette.,"Lave ton assiette, s'il te plaît !","Oui, je le fais dans 5 minutes.",O,Quand Jordan va-t-il laver son assiette ?,ce soir,dans 5 minutes
8_1,4_1,dog,request,ability,dog_intro.mp3,dog_conti_R.mp3,dog_answer_R_male.mp3,dog_answer_R_female.mp3,Vous avez prévu d'aller au musée avec votre ami Jordan.,Vous voudriez que Jordan emmène son chien,pour jouer avec lui sur le trajet,Tu peux emmener ton chien ?,Est-ce que tu as la capacité/autorisation/droit d'emmener ton chien ?,Je t'informe que tu as le capacité/autorisation/droit d'emmener ton chien.,"Emmène ton chine, s'il te plaît !","Oui, Snoopy sera content de sortir.",O,Jordan va-t-il emmener son chien ?,non,oui
7_1,5_1,email,request,ability,email_intro.mp3,email_conti_R.mp3,email_answer_R_male.mp3,email_answer_R_female.mp3,Vous aidez votre frère Jordan à faire un devoir-maison.,Vous voudriez que Jordan envoie un mail à son prof,pour avoir un énoncé plus précis,Tu peux envoyer un mail à ton prof ?,Est-ce que tu as la capacité/autorisation/droit d'envoyer un mail à ton prof ?,Je t'informe que tu as le capacité/autorisation/droit d'envoyer un mail à ton prof.,"Envoie un mail à ton prof, s'il te plaît !","Oui, je fais ça tout de suite.",O,Quand Jordan va-t-il envoyer le mail ?,demain,tout de suite
1_1,6_1,guitar,request,ability,guitar_intro.mp3,guitar_conti_R.mp3,guitar_answer_R_male.mp3,guitar_answer_R_female.mp3,"Vous êtes chez vous avec votre ami Jordan, qui a une guitare.",Vous voudriez que Jordan joue un peu de guitare,parce que vous aimez beaucoup chanter,Tu peux jouer de la guitare ?,Est-ce que tu as la capacité/autorisation/droit de jouer de la guitare ?,Je t'informe que tu as le capacité/autorisation/droit de jouer de la guitare.,"Joue de la guitare, s'il te plaît !","Bien sûr, tu veux que je joue ""Let it be"" par exemple ?",O,Qu'est-ce que Jordan va jouer ?,"""Yesterday""","""Let it be"""
15_1,7_1,light,request,ability,light_intro.mp3,light_conti_R.mp3,light_answer_R_male.mp3,light_answer_R_female.mp3,Vous êtes chez vous avec votre ami Jordan.,Vous voudriez que Jordan allume la lumière,parce qu'il fait presque nuit,Tu peux allumer la lumière ?,Est-ce que tu as la capacité/autorisation/droit d'allumer la lumière ?,Je t'informe que tu as le capacité/autorisation/droit d'allumer la lumière.,"Allume la lumière, s'il te plaît !","Oui, bien sûr !",O,Jordan va-t-il garder la lumière éteinte ?,oui,non
3_1,8_1,readsentence,request,ability,readsentence_intro.mp3,readsentence_conti_R.mp3,readsentence_answer_R_male.mp3,readsentence_answer_R_female.mp3,"Vous êtes en cours avec Jordan, et il y a une phrase écrite au tableau.",Vous voudriez que Jordan vous lise la phrase,"parce que vous, vous n'arrivez pas à le faire",Tu peux lire la phrase ?,Est-ce que tu as la capacité/autorisation/droit de lire la phrase ?,Je t'informe que tu as le capacité/autorisation/droit de lire la phrase.,"Lis la phrase, s'il te plaît !","Oui, il y a écrit ""Faire l'exercice 3.""",O,Qu'y a-t-il écrit au tableau ?,Faire la question 8.,Faire l'exercice 3.
4_1,9_1,speaklouder,request,ability,speaklouder_intro.mp3,speaklouder_conti_R.mp3,speaklouder_answer_R_male.mp3,speaklouder_answer_R_female.mp3,"Vous êtes avec Jordan dans un café, et il y a du monde à côté. ",Vous voudriez que Jordan parle plus fort,parce que vous n'arrivez pas à entendre ce qu'il dit,Tu peux parler plus fort ?,Est-ce que tu as la capacité/autorisation/droit de parler plus fort ?,Je t'informe que tu as le capacité/autorisation/droit de parler plus fort.,"Parle plus fort, s'il te plaît !","Bien sûr, excuse-moi !",O,Jordan parlait-il trop fort ?,oui,non
12_1,10_1,train,request,ability,train_intro.mp3,train_conti_R.mp3,train_answer_R_male.mp3,train_answer_R_female.mp3,Vous organisez un voyage avec votre ami Jordan.,Vous voudriez que Jordan s'occupe de commander les billets de train,"parce que vous, vous ne savez pas comment le site fonctionne",Tu peux commander les billets ?,Est-ce que tu as la capacité/autorisation/droit de commander les billets ?,Je t'informe que tu as le capacité/autorisation/droit de commander les billets,"Commande les billets, s'il te plaît !","Oui pas de soucis, je réserve bien la première semaine de juillet ?",O,Qui va commander les billets de train ?,vous,Jordan
10_1,11_1,trunk,request,ability,trunk_intro.mp3,trunk_conti_R.mp3,trunk_answer_R_male.mp3,trunk_answer_R_female.mp3,Vous êtes avec Jordan devant un coffre de voiture fermé.,Vous voudriez que Jordan ouvre le coffre,"parce que vous, vous avez les mains prises",Tu peux ouvrir le coffre ?,Est-ce que tu as la capacité/autorisation/droit d'ouvrir le coffre ?,Je t'informe que tu as le capacité/autorisation/droit d'ouvrir le coffre.,"Ouvre le coffre, s'il te plaît !","Oui, bien sûr !",O,Jordan va-t-il ouvrir le coffre ?,non,oui
5_1,12_1,washhands,request,ability,washhands_intro.mp3,washhands_conti_R.mp3,washhands_answer_R_male.mp3,washhands_answer_R_female.mp3,Votre ami Jordan arrive chez vous.,Vous voudriez que Jordan se lave les mains,parce que vous avez peur des microbes,Tu peux te laver les mains ?,Est-ce que tu as la capacité/autorisation/droit de laver les mains ?,Je t'informe que tu as le capacité/autorisation/droit de laver les mains.,"Lave-toi les mains, s'il te plaît !","Oui, pas de soucis, où est la salle de bain ?",O,Où Jordan va-t-il se laver les mains ?,dans la cuisine,dans la salle de bain
