QPara,APara,RPara
Est-ce que tu as la capacité/autorisation/droit de prendre de la tarte ?,Je t'informe que tu as le capacité/autorisation/droit de prendre de la tarte.,Prends de la tarte, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de conduire ?,Je t'informe que tu as le capacité/autorisation/droit de conduire.,Conduis, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de laver ton assiette ?,Je t'informe que tu as le capacité/autorisation/droit de laver ton assiette.,Lave ton assiette, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit d'emmener ton chien ?,Je t'informe que tu as le capacité/autorisation/droit d'emmener ton chien.,Emmène ton chine, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit d'envoyer un mail à ton prof ?,Je t'informe que tu as le capacité/autorisation/droit d'envoyer un mail à ton prof.,Envoie un mail à ton prof, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de jouer de la guitare ?,Je t'informe que tu as le capacité/autorisation/droit de jouer de la guitare.,Joue de la guitare, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit d'allumer la lumière ?,Je t'informe que tu as le capacité/autorisation/droit d'allumer la lumière.,Allume la lumière, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de lire la phrase ?,Je t'informe que tu as le capacité/autorisation/droit de lire la phrase.,Lis la phrase, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de parler plus fort ?,Je t'informe que tu as le capacité/autorisation/droit de parler plus fort.,Parle plus fort, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de commander les billets ?,Je t'informe que tu as le capacité/autorisation/droit de commander les billets,Commande les billets, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit d'ouvrir le coffre ?,Je t'informe que tu as le capacité/autorisation/droit d'ouvrir le coffre.,Ouvre le coffre, s'il te plaît !
Est-ce que tu as la capacité/autorisation/droit de laver les mains ?,Je t'informe que tu as le capacité/autorisation/droit de laver les mains.,Lave-toi les mains, s'il te plaît !
